localarea,businesstype,lat,lon
Downtown,Artist,49.2841320758668,-123.112645634474
Downtown,Artist,49.2838276094093,-123.102629279
Kensington-Cedar Cottage,Artist,49.2500341879888,-123.076457555599
Kerrisdale,Artist,49.2342611476,-123.156006486976
Strathcona,Artist,49.2702598529591,-123.098436927553
Grandview-Woodland,Artist,49.2799756947911,-123.076425612496
Downtown,Artist Agency,49.2788051707318,-123.125101986414
Fairview,Artist Agency,49.2695109220857,-123.144201764296
West End,Retail Dealer,49.2814206185452,-123.132250763192
Mount Pleasant,Retail Dealer,49.2633675274978,-123.112087476675
Grandview-Woodland,Retail Dealer,49.2769077143072,-123.069192489003
Fairview,Retail Dealer,49.2632578263335,-123.136453991444
Downtown,Design Services,49.2830325647548,-123.106385646987
Downtown,Design Services,49.2875182283394,-123.11723844762
Downtown,Design Services,49.2837321709141,-123.110029006403
Fairview,Design Services,49.2694842620425,-123.142875296479
Downtown,Design Services,49.2873631465545,-123.118872275499
Kitsilano,Design Services,49.2683122846559,-123.184571123003
Fairview,Design Services,49.2647757562914,-123.140722932309
Marpole,Design Services,49.2029486279761,-123.129385376252
Downtown,Design Services,49.283381966678,-123.10503602714
Downtown,Design Services,49.282594480169,-123.102961461185
Downtown,Design Services,49.2853593925229,-123.114569797322
Shaughnessy,Design Services,49.2396961501626,-123.1471626302
Strathcona,Design Services,49.2684125643284,-123.080808545341
Mount Pleasant,Design Services,49.265812397405,-123.104346310388
Strathcona,Design Services,49.2744996754006,-123.080122252678
Sunset,Design Services,49.2068090667402,-123.092911507335
Downtown,Design Services,49.2832171350201,-123.110084785774
Downtown,Design Services,49.2797659077519,-123.101089886943
Hastings-Sunrise,Design Services,49.2808705892416,-123.051071462238
Downtown,Design Services,49.2848552664601,-123.113970055105
Marpole,Design Services,49.2056001142086,-123.146664924482
Sunset,Design Services,49.2063520339739,-123.099070175708
Strathcona,Design Services,49.2850824592045,-123.09548799829
Strathcona,Design Services,49.2737669456772,-123.097968780581
Mount Pleasant,Design Services,49.2626632573961,-123.102385346084
Grandview-Woodland,Design Services,49.2724493530954,-123.075050728507
Strathcona,Design Services,49.2782898577078,-123.098648400503
Riley Park,Design Services,49.2495015430891,-123.090571005953
Fairview,Design Services,49.2690581284422,-123.140583271911
Downtown,Design Services,49.2805115147781,-123.100164198129
Kerrisdale,Design Services,49.2343841825624,-123.161016595643
Downtown,Design Services,49.2748587482109,-123.121151818312
Mount Pleasant,Design Services,49.2636537960398,-123.112415549769
Mount Pleasant,Design Services,49.2641215964281,-123.11068703993
Downtown,Design Services,49.2755950557928,-123.121102781728
Fairview,Design Services,49.2636846508241,-123.118042512175
Downtown,Design Services,49.2883558777116,-123.122585601107
Downtown,Design Services,49.2925589265852,-123.1292840293
Strathcona,Design Services,49.268793080772,-123.096998054501
Fairview,Design Services,49.2638663729166,-123.126104236733
Downtown,Design Services,49.2887232176178,-123.12352767162
Downtown,Design Services,49.2887232176178,-123.12352767162
Downtown,Design Services,49.2837724104188,-123.114768826392
Strathcona,Design Services,49.2779752656788,-123.080775964661
Dunbar-Southlands,Theatre,49.2455426344615,-123.185611238417
Fairview,Theatre,49.2613556746662,-123.13822282223
Kensington-Cedar Cottage,Theatre,49.2620041427219,-123.070485235515
Downtown,Theatre,49.280221662012,-123.112870382402
Marpole,Theatre,49.209694841611,-123.11615563155
Downtown,Theatre,49.2878273304586,-123.112430882112
Riley Park,Publishing and Journalism Services,49.2563576604679,-123.114678603117
Mount Pleasant,Publishing and Journalism Services,49.2632322023007,-123.105132045532
Downtown,Publishing and Journalism Services,49.2810836198967,-123.125113318281
Fairview,Publishing and Journalism Services,49.2685397911591,-123.141480635997
Downtown,Publishing and Journalism Services,49.2818433477786,-123.118522373666
Kitsilano,Publishing and Journalism Services,49.2683007895461,-123.147034792298
Downtown,Publishing and Journalism Services,49.2825746435834,-123.122552391411
Hastings-Sunrise,Photography Production and Rehearsal Studio,49.2716050525586,-123.04252575458
Kitsilano,Photography Production and Rehearsal Studio,49.2640836769676,-123.151229422225
Grandview-Woodland,Photography Production and Rehearsal Studio,49.283852636441,-123.067970348753
Mount Pleasant,Photography Production and Rehearsal Studio,49.265014118486,-123.109923988889
Renfrew-Collingwood,Photography Production and Rehearsal Studio,49.2606565881269,-123.026079257222
Mount Pleasant,Photography Production and Rehearsal Studio,49.2636004052204,-123.110178821399
Fairview,Photography Production and Rehearsal Studio,49.2670663510306,-123.119922191805
Mount Pleasant,Photography Production and Rehearsal Studio,49.2658103265839,-123.104149048172
Downtown,Photography Production and Rehearsal Studio,49.2833549453905,-123.122070609985
Renfrew-Collingwood,Photography Production and Rehearsal Studio,49.2414960801507,-123.038496900277
Mount Pleasant,Photography Production and Rehearsal Studio,49.2689955411112,-123.108799576581
Sunset,Photography Production and Rehearsal Studio,49.2086519412046,-123.097952654892
Mount Pleasant,Photography Production and Rehearsal Studio,49.2657411661289,-123.099417126326
Mount Pleasant,Photography Production and Rehearsal Studio,49.2663591856341,-123.112183130914
Mount Pleasant,Photography Production and Rehearsal Studio,49.2641103178004,-123.11016797126
Strathcona,Photography Production and Rehearsal Studio,49.2827279912097,-123.089276360378
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2818484146319,-123.064288851191
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2735491295837,-123.0748881295
Strathcona,Photography Production and Rehearsal Studio,49.268793080772,-123.096998054501
Kitsilano,Photography Production and Rehearsal Studio,49.2688650888527,-123.185164555683
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2825792256231,-123.06455066417
Mount Pleasant,Photography Production and Rehearsal Studio,49.2648106982498,-123.099296335612
Kitsilano,Photography Production and Rehearsal Studio,49.2704298571238,-123.147385524887
Mount Pleasant,Photography Production and Rehearsal Studio,49.2667477196917,-123.105277093301
Mount Pleasant,Photography Production and Rehearsal Studio,49.2641057509815,-123.109777609892
Fairview,Photography Production and Rehearsal Studio,49.2691275720928,-123.144109317543
Downtown,Photography Production and Rehearsal Studio,49.2786177100595,-123.119554602653
Strathcona,Photography Production and Rehearsal Studio,49.2826967332448,-123.087666448912
Renfrew-Collingwood,Photography Production and Rehearsal Studio,49.2606565881269,-123.026079257222
Fairview,Photography Production and Rehearsal Studio,49.2638934712589,-123.117037722767
Downtown,Photography Production and Rehearsal Studio,49.2838113918248,-123.10001249288
Grandview-Woodland,Photography Production and Rehearsal Studio,49.274611586374,-123.069952493315
Mount Pleasant,Photography Production and Rehearsal Studio,49.2575359075541,-123.114606461393
Downtown,Photography Production and Rehearsal Studio,49.282594480169,-123.102961461185
Kensington-Cedar Cottage,Photography Production and Rehearsal Studio,49.2517019251132,-123.0676831001
Renfrew-Collingwood,Photography Production and Rehearsal Studio,49.2606565881269,-123.026079257222
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2825792256231,-123.06455066417
Mount Pleasant,Photography Production and Rehearsal Studio,49.267689535897,-123.107773993089
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2735491295837,-123.0748881295
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2742826106063,-123.077029807768
Mount Pleasant,Photography Production and Rehearsal Studio,49.2660921837306,-123.098178334342
Downtown,Photography Production and Rehearsal Studio,49.2846173658124,-123.109044421668
Grandview-Woodland,Photography Production and Rehearsal Studio,49.2824013127859,-123.066824463375
Strathcona,Photography Production and Rehearsal Studio,49.2753464157171,-123.08034772838
Renfrew-Collingwood,Photography Production and Rehearsal Studio,49.2606565881269,-123.026079257222
