A1,A2,A3,A4,A5,A6,A7,Final_Exam,user_id
,,30.0,75.0,90.0,65.0,50.6,68.8,U001
100.0,,,92.5,100.0,100.0,84.4,50.3,U002
75.0,69.6,,86.2,100.0,,,67.8,U003
25.0,78.6,40.0,0.0,50.0,30.7,0.0,0.0,U004
0.0,,0.0,0.0,,,,0.0,U005
100.0,92.9,100.0,96.2,,80.0,110.5,97.5,U006
95.8,64.3,63.0,175.8,85.0,76.0,83.8,64.4,U007
168.9,100.0,40.0,95.0,100.0,100.0,,40.6,U008
83.3,85.7,50.0,90.0,,80.0,87.5,51.9,U009
129.9,76.8,-5.3,93.8,100.0,90.0,12.2,65.3,U010
75.0,75.0,90.0,96.2,100.0,,80.0,55.6,U011
79.2,57.1,64.0,68.8,90.0,72.0,68.8,28.4,U012
54.2,92.9,-69.3,81.2,,183.6,82.5,71.9,U013
,,35.0,,40.0,60.0,55.0,61.3,U014
79.2,100.0,100.0,86.2,,60.0,142.1,80.0,U015
168.1,64.3,,87.5,90.0,80.0,75.0,46.6,U016
174.6,57.1,149.2,87.5,,70.0,80.0,65.3,U017
,91.1,,101.2,98.0,100.0,85.6,68.8,U018
83.3,7.1,,12.5,,100.0,72.5,54.7,U019
,100.0,,88.8,,,92.5,73.4,U020
45.0,57.1,20.0,17.5,,96.0,78.8,57.5,U021
79.2,114.3,95.0,90.0,95.0,,90.0,64.1,U022
,91.1,82.0,61.0,100.0,100.0,98.8,43.4,U023
87.5,82.1,69.0,90.0,91.0,,72.5,49.4,U024
130.7,,85.0,188.2,100.0,80.0,85.0,68.8,U025
91.7,,80.0,83.8,90.0,80.0,82.5,40.0,U026
,,-1.7,88.8,55.0,20.0,77.5,33.1,U027
91.7,69.6,0.0,,,20.0,,63.4,U028
,60.7,,133.8,100.0,90.0,87.5,50.0,U029
100.0,100.0,82.0,97.5,,,75.0,63.7,U030
83.3,100.0,60.0,183.1,90.0,70.0,78.8,49.1,U031
83.3,,80.0,,,60.0,85.0,79.7,U032
95.8,92.9,,87.5,60.0,80.0,72.5,89.1,U033
,92.9,66.0,37.5,87.0,88.0,87.5,56.6,U034
81.7,92.9,82.0,95.7,95.0,82.0,70.6,54.4,U035
,,,93.2,100.0,80.0,68.1,52.2,U036
87.5,,,187.1,,,,68.4,U037
,,,100.0,90.0,80.0,92.5,90.0,U038
83.3,,70.0,76.2,,,78.8,31.6,U039
,,90.0,95.0,85.0,97.0,83.8,46.6,U040
91.7,100.0,80.0,81.2,100.0,70.0,,55.9,U041
,114.3,80.0,91.2,100.0,75.0,47.4,67.5,U042
70.8,32.1,50.0,61.3,,20.0,87.5,56.6,U043
100.0,,,82.8,100.0,110.0,96.2,61.6,U044
-4.5,148.9,100.0,98.8,92.0,,91.5,82.5,U045
,82.1,,91.2,,136.4,77.5,50.0,U046
,85.7,96.0,56.2,,65.0,68.1,32.5,U047
100.0,114.3,100.0,,,100.0,,57.8,U048
,100.0,100.0,83.8,,,57.5,54.1,U049
91.7,96.4,100.0,97.0,91.0,,91.9,38.1,U050
,107.1,90.0,,100.0,,136.9,89.7,U051
79.2,92.9,100.0,95.0,100.0,80.0,,70.3,U052
41.7,58.9,-70.1,88.8,80.0,70.0,71.9,31.9,U053
66.7,57.1,30.0,37.5,90.0,60.0,77.5,49.4,U054
95.8,100.0,152.2,95.0,100.0,100.0,12.3,78.4,U055
,,,,100.0,100.0,93.8,73.1,U056
90.0,73.2,76.0,75.5,132.0,,,63.4,U057
,,,102.5,87.0,80.0,83.8,66.6,U058
39.9,,,68.2,77.0,47.0,110.3,55.3,U059
91.7,92.9,98.0,98.2,7.7,88.0,81.2,81.2,U060
,,50.0,72.0,131.8,90.0,51.9,56.2,U061
,92.9,91.0,81.2,173.9,75.0,45.1,50.9,U062
,78.6,,10.0,131.4,28.8,69.4,26.2,U063
,89.3,,81.0,95.0,84.0,73.8,42.8,U064
75.8,,76.0,85.0,,76.0,73.1,33.4,U065
95.8,92.9,94.0,,100.0,100.0,,35.6,U066
,,150.8,95.0,,,65.0,52.5,U067
90.0,100.0,83.0,-21.6,97.0,100.0,81.2,67.5,U068
,,80.0,,87.0,,150.6,69.1,U069
0.0,96.4,,83.8,50.0,20.0,82.5,61.9,U070
,,,15.0,,,47.5,34.4,U071
100.0,100.0,96.0,98.8,,95.0,91.2,77.2,U072
75.0,100.0,90.0,31.0,55.0,29.6,112.3,38.1,U073
91.7,50.0,,37.5,133.4,60.0,82.5,32.8,U074
25.0,96.4,,95.0,100.0,90.0,80.0,50.0,U075
,57.1,50.0,90.0,100.0,50.0,87.5,49.1,U076
83.3,64.3,55.0,78.8,100.0,-17.0,78.8,70.9,U077
95.8,100.0,,99.2,96.0,80.0,66.2,60.0,U078
,92.9,0.0,56.2,47.7,80.0,49.4,32.5,U079
100.0,89.3,80.0,,46.5,95.0,94.4,71.9,U080
95.8,55.4,100.0,81.2,90.0,,85.0,32.2,U081
,,,56.2,,29.2,60.0,57.5,U082
87.5,-30.6,70.0,174.8,91.0,,146.4,64.1,U083
79.2,,60.0,27.5,50.0,60.0,75.0,45.6,U084
,0.0,85.0,100.0,55.0,0.0,0.0,30.6,U085
87.5,,88.0,87.5,,90.0,75.6,51.2,U086
